variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
"r_ward[Yoker,y_num:acf_periodb.acf]",0.00,0.00,0.01,0.01,-0.02,0.01,1.00,"4,112.28","2,983.39"
"r_ward[Anderston,y_num:acf_periodc.postMacf]",0.00,0.00,0.01,0.01,-0.02,0.01,1.00,"3,792.11","2,763.30"
"r_ward[Calton,y_num:acf_periodc.postMacf]",0.00,0.00,0.01,0.01,-0.01,0.02,1.00,"3,338.18","2,796.27"
"r_ward[Camphill,y_num:acf_periodc.postMacf]",0.00,0.00,0.01,0.01,-0.01,0.02,1.00,"2,834.35","2,535.88"
"r_ward[Cathcart,y_num:acf_periodc.postMacf]",0.00,0.00,0.01,0.01,-0.02,0.01,1.00,"2,575.57","2,431.05"
"r_ward[Cowcaddens,y_num:acf_periodc.postMacf]",0.00,0.00,0.01,0.01,-0.01,0.02,1.00,"3,764.40","2,537.97"
"r_ward[Cowlairs,y_num:acf_periodc.postMacf]",0.00,0.00,0.01,0.01,-0.01,0.02,1.00,"3,219.05","2,750.08"
"r_ward[Craigton,y_num:acf_periodc.postMacf]",0.00,0.00,0.01,0.01,-0.01,0.02,1.00,"3,150.28","2,338.14"
"r_ward[Dalmarnock,y_num:acf_periodc.postMacf]",0.00,0.00,0.01,0.01,-0.01,0.02,1.00,"2,616.04","2,690.41"
"r_ward[Dennistoun,y_num:acf_periodc.postMacf]",0.00,0.00,0.01,0.01,-0.01,0.02,1.00,"4,121.72","2,703.49"
"r_ward[Exchange,y_num:acf_periodc.postMacf]",0.00,0.00,0.01,0.01,-0.01,0.02,1.00,"3,234.10","2,786.97"
"r_ward[Fairfield,y_num:acf_periodc.postMacf]",0.00,0.00,0.01,0.01,-0.01,0.02,1.00,"1,736.20","2,083.07"
"r_ward[Gorbals,y_num:acf_periodc.postMacf]",0.00,0.00,0.01,0.01,-0.01,0.02,1.00,"2,843.37","2,779.22"
"r_ward[Govan,y_num:acf_periodc.postMacf]",0.00,0.00,0.01,0.01,-0.01,0.02,1.00,"2,105.65","2,637.83"
"r_ward[Govanhill,y_num:acf_periodc.postMacf]",0.00,0.00,0.01,0.01,-0.01,0.02,1.00,"1,907.82","2,121.96"
"r_ward[Hutchesontown,y_num:acf_periodc.postMacf]",0.00,0.00,0.01,0.01,-0.01,0.02,1.00,"3,115.60","2,718.59"
"r_ward[Kelvinside,y_num:acf_periodc.postMacf]",-0.01,0.00,0.01,0.01,-0.03,0.01,1.00,"2,267.38","2,107.19"
"r_ward[Kingston,y_num:acf_periodc.postMacf]",0.01,0.00,0.01,0.01,-0.01,0.02,1.00,"1,886.77","2,418.95"
"r_ward[Kinning.Park,y_num:acf_periodc.postMacf]",0.00,0.00,0.01,0.01,-0.01,0.02,1.00,"1,935.99","2,575.00"
"r_ward[Knightswood,y_num:acf_periodc.postMacf]",-0.01,-0.01,0.01,0.01,-0.04,0.00,1.00,775.11,"1,983.42"
"r_ward[Langside,y_num:acf_periodc.postMacf]",0.00,0.00,0.01,0.01,-0.01,0.02,1.00,"2,749.77","2,691.49"
"r_ward[Maryhill,y_num:acf_periodc.postMacf]",0.00,0.00,0.01,0.01,-0.02,0.01,1.00,"3,608.73","2,772.21"
"r_ward[Mile-End,y_num:acf_periodc.postMacf]",0.00,0.00,0.01,0.01,-0.01,0.02,1.00,"3,413.79","2,389.32"
"r_ward[North.Kelvin,y_num:acf_periodc.postMacf]",0.00,0.00,0.01,0.01,-0.01,0.02,1.00,"2,292.67","2,032.40"
"r_ward[Park,y_num:acf_periodc.postMacf]",0.00,0.00,0.01,0.01,-0.01,0.02,1.00,"2,532.59","2,347.86"
"r_ward[Parkhead,y_num:acf_periodc.postMacf]",0.00,0.00,0.01,0.01,-0.02,0.01,1.00,"3,673.86","3,049.48"
"r_ward[Partick.(East),y_num:acf_periodc.postMacf]",0.00,0.00,0.01,0.01,-0.01,0.02,1.00,"3,387.86","2,751.09"
"r_ward[Partick.(West),y_num:acf_periodc.postMacf]",0.00,0.00,0.01,0.01,-0.02,0.01,1.00,"1,751.68","2,440.59"
"r_ward[Pollokshaws,y_num:acf_periodc.postMacf]",0.00,0.00,0.01,0.01,-0.01,0.02,1.00,"3,148.67","2,439.52"
"r_ward[Pollokshields,y_num:acf_periodc.postMacf]",0.00,0.00,0.01,0.01,-0.02,0.01,1.00,"3,191.51","2,587.28"
"r_ward[Provan,y_num:acf_periodc.postMacf]",0.00,0.00,0.01,0.01,-0.02,0.01,1.00,"2,366.41","1,977.17"
"r_ward[Ruchill,y_num:acf_periodc.postMacf]",0.00,0.00,0.01,0.01,-0.02,0.01,1.00,"2,884.85","2,337.34"
"r_ward[Shettleston.and.Tollcross,y_num:acf_periodc.postMacf]",0.00,0.00,0.01,0.01,-0.01,0.02,1.00,"3,160.99","2,274.80"
"r_ward[Springburn,y_num:acf_periodc.postMacf]",-0.01,-0.01,0.01,0.01,-0.03,0.01,1.00,"1,362.82","2,159.87"
"r_ward[Townhead,y_num:acf_periodc.postMacf]",0.00,0.00,0.01,0.01,-0.02,0.01,1.00,"2,165.92","2,401.21"
"r_ward[Whiteinch,y_num:acf_periodc.postMacf]",0.00,0.00,0.01,0.01,-0.02,0.01,1.00,"1,545.46","2,280.56"
"r_ward[Woodside,y_num:acf_periodc.postMacf]",0.00,0.00,0.01,0.01,-0.01,0.02,1.00,"2,556.75","2,778.67"
"r_ward[Yoker,y_num:acf_periodc.postMacf]",-0.01,0.00,0.01,0.01,-0.03,0.01,1.00,"1,365.65","2,335.07"
lprior,-39.38,-39.20,2.55,2.46,-43.87,-35.57,1.00,"2,313.44","2,907.53"
lp__,"-2,175.28","-2,175.27",14.00,14.12,"-2,199.04","-2,152.90",1.00,955.78,"1,830.32"
