variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
"r_ward[Shettleston.and.Tollcross,acf_periodb.acf]",0.00,0.00,0.06,0.04,-0.11,0.11,1.00,"5,035.17","3,058.97"
"r_ward[Springburn,acf_periodb.acf]",-0.03,-0.02,0.08,0.05,-0.19,0.07,1.00,"2,306.10","2,719.50"
"r_ward[Townhead,acf_periodb.acf]",-0.03,-0.01,0.07,0.05,-0.16,0.07,1.00,"3,663.01","3,452.23"
"r_ward[Whiteinch,acf_periodb.acf]",0.03,0.01,0.07,0.05,-0.07,0.15,1.00,"3,181.54","3,223.30"
"r_ward[Woodside,acf_periodb.acf]",-0.01,0.00,0.06,0.04,-0.12,0.09,1.00,"4,647.13","2,962.65"
"r_ward[Yoker,acf_periodb.acf]",-0.01,0.00,0.07,0.04,-0.12,0.10,1.00,"3,367.82","2,981.89"
"r_ward[Anderston,acf_periodc.postMacf]",-0.03,-0.02,0.10,0.08,-0.21,0.13,1.00,"4,346.65","3,263.87"
"r_ward[Calton,acf_periodc.postMacf]",0.00,0.00,0.10,0.08,-0.16,0.17,1.00,"3,673.78","2,983.29"
"r_ward[Camphill,acf_periodc.postMacf]",0.13,0.11,0.15,0.14,-0.05,0.41,1.00,"1,360.72","2,514.67"
"r_ward[Cathcart,acf_periodc.postMacf]",0.05,0.03,0.11,0.08,-0.11,0.24,1.00,"3,202.09","2,918.39"
"r_ward[Cowcaddens,acf_periodc.postMacf]",-0.02,-0.01,0.10,0.08,-0.20,0.14,1.00,"4,413.73","3,102.75"
"r_ward[Cowlairs,acf_periodc.postMacf]",-0.01,0.00,0.10,0.08,-0.18,0.15,1.00,"4,374.14","3,359.33"
"r_ward[Craigton,acf_periodc.postMacf]",-0.01,0.00,0.10,0.08,-0.18,0.15,1.00,"4,552.00","3,138.68"
"r_ward[Dalmarnock,acf_periodc.postMacf]",0.02,0.02,0.10,0.08,-0.14,0.19,1.00,"2,712.94","3,110.54"
"r_ward[Dennistoun,acf_periodc.postMacf]",0.00,0.00,0.10,0.08,-0.17,0.16,1.00,"4,946.80","3,117.67"
"r_ward[Exchange,acf_periodc.postMacf]",0.04,0.02,0.11,0.09,-0.13,0.24,1.00,"3,410.20","2,855.35"
"r_ward[Fairfield,acf_periodc.postMacf]",0.09,0.07,0.11,0.10,-0.06,0.29,1.00,"1,568.44","3,093.70"
"r_ward[Gorbals,acf_periodc.postMacf]",0.08,0.06,0.12,0.10,-0.07,0.29,1.00,"1,903.89","3,111.71"
"r_ward[Govan,acf_periodc.postMacf]",0.02,0.01,0.10,0.08,-0.14,0.18,1.00,"3,496.77","2,898.14"
"r_ward[Govanhill,acf_periodc.postMacf]",0.07,0.05,0.12,0.10,-0.09,0.28,1.00,"1,834.03","2,567.60"
"r_ward[Hutchesontown,acf_periodc.postMacf]",0.04,0.02,0.10,0.08,-0.11,0.22,1.00,"3,733.52","3,081.44"
"r_ward[Kelvinside,acf_periodc.postMacf]",-0.06,-0.04,0.13,0.10,-0.30,0.13,1.00,"2,226.27","2,307.57"
"r_ward[Kingston,acf_periodc.postMacf]",0.06,0.05,0.11,0.09,-0.09,0.26,1.00,"1,625.29","2,868.08"
"r_ward[Kinning.Park,acf_periodc.postMacf]",0.04,0.03,0.11,0.09,-0.11,0.23,1.00,"2,179.17","2,420.43"
"r_ward[Knightswood,acf_periodc.postMacf]",-0.10,-0.09,0.13,0.12,-0.34,0.07,1.00,959.14,"2,458.60"
"r_ward[Langside,acf_periodc.postMacf]",0.07,0.05,0.12,0.10,-0.10,0.28,1.00,"1,739.17","2,273.01"
"r_ward[Maryhill,acf_periodc.postMacf]",-0.03,-0.02,0.10,0.08,-0.20,0.13,1.00,"3,861.36","3,522.49"
"r_ward[Mile-End,acf_periodc.postMacf]",0.01,0.00,0.10,0.08,-0.16,0.17,1.00,"4,743.82","3,444.61"
"r_ward[North.Kelvin,acf_periodc.postMacf]",0.10,0.08,0.12,0.12,-0.06,0.32,1.00,"1,248.62","2,728.27"
"r_ward[Park,acf_periodc.postMacf]",0.06,0.04,0.11,0.09,-0.10,0.25,1.00,"2,149.89","3,002.85"
"r_ward[Parkhead,acf_periodc.postMacf]",-0.04,-0.02,0.10,0.08,-0.22,0.11,1.00,"3,309.27","3,090.53"
"r_ward[Partick.(East),acf_periodc.postMacf]",0.06,0.04,0.11,0.09,-0.09,0.27,1.00,"2,292.93","2,915.05"
"r_ward[Partick.(West),acf_periodc.postMacf]",-0.05,-0.04,0.11,0.09,-0.26,0.11,1.00,"2,123.77","2,289.07"
"r_ward[Pollokshaws,acf_periodc.postMacf]",-0.02,-0.01,0.10,0.08,-0.19,0.13,1.00,"4,309.09","3,125.73"
"r_ward[Pollokshields,acf_periodc.postMacf]",-0.04,-0.02,0.10,0.08,-0.21,0.11,1.00,"3,529.31","3,533.09"
"r_ward[Provan,acf_periodc.postMacf]",-0.08,-0.06,0.12,0.10,-0.29,0.08,1.00,"1,789.77","3,154.49"
"r_ward[Ruchill,acf_periodc.postMacf]",-0.04,-0.03,0.11,0.09,-0.23,0.12,1.00,"3,055.44","2,812.52"
